BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2456,,2456.dat,,11,0,Black,Solid Colors,30,0.003261
2456,,2456.dat,,7,1,Blue,Solid Colors,30,0.003261
2456,,2456.dat,,36,10,Bright Green,Solid Colors,30,0.003261
2456,,2456.dat,,105,212,Bright Light Blue,Solid Colors,30,0.003261
2456,,2456.dat,,110,191,Bright Light Orange,Solid Colors,30,0.003261
2456,,2456.dat,,103,226,Bright Light Yellow,Solid Colors,30,0.003261
2456,,2456.dat,,104,29,Bright Pink,Solid Colors,30,0.003261
2456,,2456.dat,,153,321,Dark Azure,Solid Colors,30,0.003261
2456,,2456.dat,,63,272,Dark Blue,Solid Colors,30,0.003261
2456,,2456.dat,,85,72,Dark Bluish Gray,Solid Colors,30,0.003261
2456,,2456.dat,,120,308,Dark Brown,Solid Colors,30,0.003261
2456,,2456.dat,,80,288,Dark Green,Solid Colors,30,0.003261
2456,,2456.dat,,68,484,Dark Orange,Solid Colors,30,0.003261
2456,,2456.dat,,47,5,Dark Pink,Solid Colors,30,0.003261
2456,,2456.dat,,89,85,Dark Purple,Solid Colors,30,0.003261
2456,,2456.dat,,59,320,Dark Red,Solid Colors,30,0.003261
2456,,2456.dat,,69,28,Dark Tan,Solid Colors,30,0.003261
2456,,2456.dat,,6,2,Green,Solid Colors,30,0.003261
2456,,2456.dat,,152,323,Light Aqua,Solid Colors,30,0.003261
2456,,2456.dat,,86,71,Light Bluish Gray,Solid Colors,30,0.003261
2456,,2456.dat,,90,78,Light Nougat,Solid Colors,30,0.003261
2456,,2456.dat,,34,27,Lime,Solid Colors,30,0.003261
2456,,2456.dat,,71,26,Magenta,Solid Colors,30,0.003261
2456,,2456.dat,,156,322,Medium Azure,Solid Colors,30,0.003261
2456,,2456.dat,,42,73,Medium Blue,Solid Colors,30,0.003261
2456,,2456.dat,,157,30,Medium Lavender,Solid Colors,30,0.003261
2456,,2456.dat,,150,84,Medium Nougat,Solid Colors,30,0.003261
2456,,2456.dat,,155,330,Olive Green,Solid Colors,30,0.003261
2456,,2456.dat,,4,25,Orange,Solid Colors,30,0.003261
2456,,2456.dat,,5,4,Red,Solid Colors,30,0.003261
2456,,2456.dat,,88,70,Reddish Brown,Solid Colors,30,0.003261
2456,,2456.dat,,48,378,Sand Green,Solid Colors,30,0.003261
2456,,2456.dat,,2,19,Tan,Solid Colors,30,0.003261
2456,,2456.dat,,1,15,White,Solid Colors,30,0.003261
2456,,2456.dat,,3,14,Yellow,Solid Colors,30,0.003261
3001,,3001.dat,,11,0,Black,Solid Colors,50,0.002226
3001,,3001.dat,,7,1,Blue,Solid Colors,50,0.002226
3001,,3001.dat,,36,10,Bright Green,Solid Colors,50,0.002226
3001,,3001.dat,,105,212,Bright Light Blue,Solid Colors,50,0.002226
3001,,3001.dat,,110,191,Bright Light Orange,Solid Colors,50,0.002226
3001,,3001.dat,,103,226,Bright Light Yellow,Solid Colors,50,0.002226
3001,,3001.dat,,104,29,Bright Pink,Solid Colors,50,0.002226
3001,,3001.dat,,153,321,Dark Azure,Solid Colors,50,0.002226
3001,,3001.dat,,63,272,Dark Blue,Solid Colors,50,0.002226
3001,,3001.dat,,85,72,Dark Bluish Gray,Solid Colors,50,0.002226
3001,,3001.dat,,120,308,Dark Brown,Solid Colors,50,0.002226
3001,,3001.dat,,80,288,Dark Green,Solid Colors,50,0.002226
3001,,3001.dat,,68,484,Dark Orange,Solid Colors,50,0.002226
3001,,3001.dat,,47,5,Dark Pink,Solid Colors,50,0.002226
3001,,3001.dat,,89,85,Dark Purple,Solid Colors,50,0.002226
3001,,3001.dat,,59,320,Dark Red,Solid Colors,50,0.002226
3001,,3001.dat,,69,28,Dark Tan,Solid Colors,50,0.002226
3001,,3001.dat,,6,2,Green,Solid Colors,50,0.002226
3001,,3001.dat,,152,323,Light Aqua,Solid Colors,50,0.002226
3001,,3001.dat,,86,71,Light Bluish Gray,Solid Colors,50,0.002226
3001,,3001.dat,,90,78,Light Nougat,Solid Colors,50,0.002226
3001,,3001.dat,,34,27,Lime,Solid Colors,50,0.002226
3001,,3001.dat,,71,26,Magenta,Solid Colors,50,0.002226
3001,,3001.dat,,156,322,Medium Azure,Solid Colors,50,0.002226
3001,,3001.dat,,42,73,Medium Blue,Solid Colors,50,0.002226
3001,,3001.dat,,157,30,Medium Lavender,Solid Colors,50,0.002226
3001,,3001.dat,,150,84,Medium Nougat,Solid Colors,50,0.002226
3001,,3001.dat,,155,330,Olive Green,Solid Colors,50,0.002226
