Img,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,LEGO,LDraw,BrickLink,BrickOwl
,4,Red,C91A09,303205,90438,1949,2025,"21 ['Bright red', 'BR.RED']",4 ['Red'],5 ['Red'],81 ['Red']
,25,Orange,FE8A18,50438,16525,1997,2025,"106 ['Bright orange', 'BR.ORANGE']",25 ['Orange'],4 ['Orange'],80 ['Orange']
,14,Yellow,F2CD37,204062,68105,1949,2025,"24 ['Bright yellow', 'BR.YEL', 'BRIGHT YELLOW, VERSION 2']",14 ['Yellow'],3 ['Yellow'],93 ['Yellow']
,2,Green,237841,84308,25045,1949,2025,"28 ['Dark green', 'DK.GREEN']",2 ['Green'],6 ['Green'],61 ['Green']
,1,Blue,0055BF,197499,47745,1949,2025,"23 ['Bright Blue', 'BR.BLUE']",1 ['Blue'],7 ['Blue'],39 ['Blue']
,22,Purple,81007B,1005,318,1997,2005,"104 ['Bright violet', 'BR. VIOLET']",22 ['Purple'],24 ['Purple'],4 ['Purple']
,13,Pink,FC97AC,477,246,1994,2005,9 ['L.REDVIOL'],13 ['Pink'],23 ['Pink'],3 ['Pink']
,6,Brown,583927,9554,3781,1974,2006,"25 ['Earth Orange', 'EARTH-ORA']",6 ['Brown'],8 ['Brown'],46 ['Brown']
,92,Nougat,D09168,2676,1085,1979,2025,18 ['Nougat'],92 ['Nougat'],28 ['Nougat'],6 ['Flesh']
,7,Light Gray,9BA19D,92787,25153,1954,2006,2 ['Grey'],7 ['Light_Gray'],9 ['Light Gray'],66 ['Light Gray']
,15,White,FFFFFF,481456,141134,1949,2025,"1 ['White', 'WHITE V.3']",15 ['White'],1 ['White'],92 ['White']
,0,Black,05131D,781826,215972,1957,2026,"26 ['Black', 'BLACK']
342 ['CONDUCT. BLACK'] ","0 ['Black']
256 ['Rubber_Black']",11 ['Black'],38 ['Black']
